                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.529,                 4.4053,                 2.5117,                0.00228,                0.78788,                 0.0038,                 0.0011,                 2.5183,                 6.7121,                 2.7174,             0.00065801,             0.00065801,             0.00065801
                      2,                 2.3775,                 4.0215,                 2.4101,                 0.0018,                0.62121,                0.00598,                0.00154,                 2.6899,                 4.0929,                 2.7671,              0.0012722,              0.0012722,              0.0012722
                      3,                 2.4222,                 3.8423,                 2.3873,                0.00206,                0.71212,                0.00533,                0.00125,                  2.824,                 4.1081,                 2.9629,              0.0018336,              0.0018336,              0.0018336
                      4,                 2.4197,                 3.7928,                 2.4138,                 0.0018,                0.59091,                0.00157,                0.00051,                 2.7942,                  4.013,                 2.9026,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.3671,                 3.6863,                 2.3755,                0.00164,                0.56061,                  0.006,                0.00115,                 2.8747,                 4.2053,                 3.0114,              0.0017624,              0.0017624,              0.0017624
                      6,                 2.4516,                 3.6896,                 2.3992,                0.00232,                0.78788,                0.01053,                0.00255,                 2.6211,                 3.8325,                 2.5921,              0.0016832,              0.0016832,              0.0016832
                      7,                  2.404,                 3.6383,                 2.3504,                0.00228,                0.78788,                0.00538,                0.00157,                 2.6467,                 3.7163,                 2.5796,               0.001604,               0.001604,               0.001604
                      8,                 2.3316,                 3.5959,                 2.3188,                0.00228,                0.78788,                0.01208,                0.00346,                 2.5388,                 3.8236,                 2.5002,              0.0015248,              0.0015248,              0.0015248
                      9,                 2.3234,                  3.596,                  2.301,                0.00255,                0.77273,                0.01009,                0.00229,                 2.5284,                 3.7395,                 2.4937,              0.0014456,              0.0014456,              0.0014456
                     10,                 2.3502,                 3.6507,                 2.3147,                 0.0022,                0.75758,                0.00646,                0.00221,                 2.5744,                  3.891,                 2.4721,              0.0013664,              0.0013664,              0.0013664
                     11,                 2.2793,                 3.6099,                 2.2889,                0.00228,                0.78788,                0.01018,                0.00305,                 2.5596,                 3.9307,                 2.5338,              0.0012872,              0.0012872,              0.0012872
                     12,                 2.3368,                 3.6203,                   2.34,                 0.0026,                0.71212,                0.00635,                0.00174,                 2.5027,                 3.8399,                 2.5112,               0.001208,               0.001208,               0.001208
                     13,                 2.3332,                  3.609,                 2.3405,                0.00308,                0.69697,                0.01181,                0.00321,                 2.3739,                 3.8742,                 2.4264,              0.0011288,              0.0011288,              0.0011288
                     14,                 2.2988,                 3.6219,                 2.3315,                0.00229,                0.78788,                 0.0089,                0.00264,                 2.4315,                 3.7348,                 2.4663,              0.0010496,              0.0010496,              0.0010496
                     15,                 2.2988,                 3.5725,                 2.2874,                 0.0023,                0.75758,                0.01007,                0.00301,                 2.3908,                 3.8139,                 2.4801,              0.0009704,              0.0009704,              0.0009704
                     16,                 2.4607,                 3.7707,                 2.4022,                0.00193,                    0.5,                0.00297,                0.00093,                 2.4636,                  4.003,                 2.5508,              0.0008912,              0.0008912,              0.0008912
                     17,                 2.4053,                 3.7491,                 2.4097,                0.00232,                0.80303,                0.01246,                0.00379,                 2.4176,                 3.7472,                 2.4304,               0.000812,               0.000812,               0.000812
                     18,                 2.3875,                 3.6627,                 2.4409,                0.00229,                0.78788,                0.00999,                 0.0034,                  2.323,                 3.6805,                 2.4576,              0.0007328,              0.0007328,              0.0007328
                     19,                 2.3113,                 3.6764,                 2.4321,                0.00235,                0.80303,                0.01011,                0.00348,                 2.2895,                 3.6946,                 2.4159,              0.0006536,              0.0006536,              0.0006536
                     20,                 2.3153,                 3.6668,                 2.4367,                0.00237,                0.81818,                0.01115,                 0.0037,                 2.2942,                 3.6512,                  2.459,              0.0005744,              0.0005744,              0.0005744
                     21,                 2.3118,                 3.6505,                 2.4315,                0.00235,                0.80303,                0.01213,                0.00366,                 2.3035,                 3.6651,                 2.4642,              0.0004952,              0.0004952,              0.0004952
                     22,                  2.291,                 3.6437,                 2.4223,                0.00245,                0.81818,                0.03194,                0.00758,                 2.2902,                 3.6531,                 2.4289,               0.000416,               0.000416,               0.000416
                     23,                 2.2164,                 3.6629,                 2.3929,                0.00257,                0.84848,                0.01524,                0.00472,                 2.2981,                 3.7003,                 2.4595,              0.0003368,              0.0003368,              0.0003368
                     24,                 2.2474,                 3.6461,                 2.4086,                0.00245,                0.83333,                0.01534,                0.00485,                  2.302,                  3.689,                 2.4313,              0.0002576,              0.0002576,              0.0002576
                     25,                 2.2185,                 3.6328,                 2.3607,                0.00249,                0.83333,                0.01375,                0.00425,                 2.3048,                 3.6646,                 2.4084,              0.0001784,              0.0001784,              0.0001784
